audio_path,Before Finetuning Transcription,Finetuned_Transcription,XTTS_FineTuned_Transcription,Piper_FineTuned_Transcription,VITS_FineTuned_Transcription,Ground Truth,BF_CER,Blade_Semantic_BF,Blade_Semantic_Finetuned,Blade_Semantic_XTTS_FineTuned,Blade_Semantic_Piper_FineTuned,Blade_Semantic_VITS_FineTuned
2024_07_09 09_45_10 1aejJQ.wav,"I would appreciate our delicious soup and salad combo, specifically the broccoli cheddar soup paired with a fresh garden salad. Thank you."," I would appreciate a delicious soup and salad combo, specifically the broccoli cheddar soup paired with a fresh garden salad. Thank you.", I would appreciate a delicious soup and salad convo specified with broccoli cheddar soup with a fresh garden salad. Thank you.," I would appreciate our delicious soup and salad gumos, specifically the broccoli cheddar soup. Specifically the broccoli cheddar soup. Thank you.",I would appreciate a dish a dishabongery sweet con-fuscary with a fresh garden salad. Thank you.,"I would appreciate a delicious Soup and Salad Combo, specifically the Broccoli Cheddar Soup paired with a fresh garden salad. Thank you!",0.022222222,0.990189724,0.999999991,0.976043733,0.886379242,0.8220041325226317
2024_07_09 09_46_36 YpGK3Q.wav,Can I have a hot dog on a sub-seasor bun?,Can I have a hot dog on I? Sub-ceaser bun.,Can I have a hot dog on a hot dog on a sub-seasoner bun.,Can I have a hot dog on our sub-ceaser bun?,Can I have a hordougainiung an sub-ceaser bun,Can I have a hot dog on a Sub Caesar bun?,0.125,0.917509567,0.94055967,0.889954083,0.934716591,0.8286680444000626
2024_07_09 10_00_12 UeV5gw.wav,"I will have the boneless wings without any sauce or dry wrap, please.","I will have the boneless wings without any sauce or dry wrap, please.", I will have the boneless wings without any sauce or dry brabuble.,I will have the boneless wings without any sauce or dry bread please.,I will have the boneless wings without any sauce or dry wrap please.,"I will have the boneless wings without any sauce or a dry rub, please.",0.072463768,0.968866291,0.968866291,0.965728014,0.966205037,0.9688662914191923
2024_07_09 10_02_57 6k0MuQ.wav,I would like some turkey sandwich without any tomatoes please thank you,"I would like some turkey sandwich without any tomatoes, please. Thank you."," I would like some turkey sandwich without any tomatoes, please. Thank you.","I would like some turkey sandwich without any tomatoes, please. Thank you.","I would like some turkey sandwich without any tomatoes, please. Thank you.","I would like some turkey sandwich without any tomatoes, please. Thank you!",0.02739726,1.0,1.0,0.999999997,0.999999997,0.9999999966792671
2024_07_09 10_03_35 fysiOg.wav,"Could you please serve me a cheeseburger, one top with tangy blue cheese and another featuring classic American cheese. Thank you.","Could you please serve me a cheeseburger, one top with tangy blue cheese and another featuring classic American cheese? Thank you.","Could you please serve me a cheeseburger, one top with tangy blue cheese and another featuring classic American cheese. Thank you.","Could you please serve me a cheeseburger, one topped with tangy blue cheese and another Fitchin classic American cheese. Thank you.","Could you please serve me a cheeseburger, one talk with tangy blue cheese and another featuring classic American cheese? Thank you.","Could you please serve me a cheeseburger, one topped with tangy blue cheese and another featuring classic American cheese? Thank you.",0.03030303,0.996689824,0.996689824,0.996689824,0.991492945,0.9856834099888715
2024_07_09 10_04_12 wrwyjA.wav,Would you please serve me a to strata with red sauce and beef as well as another one with red sauce and goat? Thank you., Would you please serve me a toasterta with red sauce and beef as well as another one with red sausage and goat? Thank you.,Could you please serve me a to strata with red sauce and beef as well as another one with red sauce and goat. Thank you., Would you please serve me a to start out of red sauce and beef as well as another one with red sauce and goat? Thank you.,Would you please serve me a tostada with red sauce and beef as well as another one with red sausage and goat thank you,"Could you please serve me a tostada with red sauce and beef, as well as another one with red sauce and goat? Thank you!",0.042372881,0.902898299,0.878406762,0.900036832,0.914012572,0.9787834390838495
2024_07_09 10_21_42 1_UQ8A.wav,"I would like to try the Chrisadina's visa, but please, will you serve it without any sound from? Thank you."," I would like to try the Khrastainas Siza, but please could you serve it without any song? Thank you."," I would like to try the Kisagina Swiza, but please, could you serve it without any salsa? Thank you."," I would like to try the classagna with a specialized reason, but please please please please please please serve it without any salsa. Thank you.","I would like to try the Cusatina Siza, but please could you serve it without any salsa? Thank you.","I would like to try the Quesadilla Suiza, but please could you serve it without any salsa? Thank you.",0.24,0.657736035,0.740619895,0.86427421,0.872489555,0.9069949795188065
2024_07_09 10_22_10 MI0RTw.wav,Can I order a mini breakfast with white toast on the side?,Can I order a mini breakfast with white toast on the side?,Can I order a mini breakfast with white toast on the side?,Can I order a mini breakfast with white roast on the side?,Can I order a mini breakfast with white dish on the side?,Can I order a mini breakfast with white toast on the side?,0.0,0.999999986,0.999999986,1.0,0.935319831,0.9341752080173187
2024_07_09 10_22_40 pyVIwA.wav,Can you bring me a plate of chips shared with our housemaid guacamole and salsa please?, Did you bring me a plate of chips served with our house made guacamole and salsa please?,"Can you bring me a plate of chips served with our house made guacamole and salsa, please?","Can you bring me a plate of chips served with our house made guacamole and salsa, please?",Can you bring me a plate of chips served with our house made guacamole and salsa please?,"Can you bring me a plate of chips served with our house-made guacamole and salsa, please?",0.079545455,0.942516237,0.97056431,0.991759357,0.991759357,0.9917593566598187
2024_07_09 10_24_32 TfHqVA.wav,"I'm sorry for any confusion but it seems that there might be a mix-up in the items and modifiers you provided. Pastrami is typically a type of cured meat often served with rye bread or as part of sandwiches while chocolate chips are usually associated with desserts like cookies or brownies. Could I assist you by suggesting a pastrami sandwich instead? If so, would you prefer toasted or un-toasted and what type of bread do you fancy rye, whole wheat or something else?","I'm sorry for any confusion, but it seems that there might be a mix-up in the items and modifiers you provided. Pastrami is typically a type of cured meat, often served with rye of bread, or as part of sandwiches, while chocolate chips are usually associated with desserts like cookies or brownies. Could I assist you by suggesting a pastrami sandwich instead? If so, would you prefer toasted or un-toasted and what type of bread do you fancy rye, whole wheat, or something else?"," I'm sorry for any confusion, but it seems that there might be a mix-up in the items and modifiers you provided. Pastrami is typically a type of cured meat often served with rye bread or as part of a sandwich. While chocolate chips are usually associated with desserts like cookies or brownies, could I assist you by suggesting a pastrami sandwich instead? If so, would you prefer it toasted or un-toasted and what type of bread do you fancy rye or whole wheat or something else?","I'm sorry for any confusion, but it seems that there might be a mix-up in the items and modifiers you provided. Pastrami is typically a type of cured meat often served with a rye bread or as part of a sandwich. While chocolate chips are usually associated with desserts like cookies or brownies. Could I assist you by suggesting a fast-frami sandwich instead? If so, would you prefer it toasted or un-toasted? And what type of bread do you fancy rye, whole wheat, or something else?"," I'm sorry for any confusion, but it seems there might be a mixup in the items and modified you provided. Pastrami is typically a type of cured meat, often served with rye bread or as a pot of sandwiches, while chaki chips are usually asiated with desserts like cookies or brownies. Could I assist you by suggesting a fast-fitting or instead? If so would you prefer a toast it or un-tosted and what type of bread do you fainzini, rye, whole wheat, or something else?","I'm sorry for any confusion, but it seems there might be a mix-up in the items and modifiers you provided. Pastrami is typically a type of cured meat often served on rye bread or as part of sandwiches, while chocolate chips are usually associated with desserts like cookies or brownies. Could I assist you by suggesting a pastrami sandwich instead? If so, would you prefer it toasted or untoasted and what type of bread do you fancy – rye, whole wheat, or something else?",0.038297872,0.999059781,0.998379315,0.998106646,0.983378746,0.8820963138507321
2024_07_09 10_25_49 l-F5qQ.wav,Could you serve me a swine meal with half a serving of red potato mash and also the surfinter accompanied with another half serving of red potato mash? Thank you.,Could you serve me a swye meal with half a serving of red potato mash and also the surf and turf accompanied with another half serving of red potato mash? Thank you.,Could you serve me a swye meal with half a serving of red potato mash and also the surfenter turf accompanied by another half serving of red potato mash. Thank you.,Could you serve me a swye meal with half a serving of red potato mash and also the serving of red potato mash and also the serving of red potato mash and also the serving of red potato mash. Thank you.,Could you sell me a swyean with half a serving of red potato mash and also the serpent of red potato mash and also the serpent of half-sour accompanied with another half serving of red potato mash? Thank you.,"Could you please serve me a Swai Meal with half a serving of Red Potato Mash, and also the Surf 'n Turf accompanied by another half serving of Red Potato Mash? Thank you.",0.118343195,0.858521432,0.974206863,0.952395331,0.892752197,0.7875879988925465
2024_07_09 10_31_47 X_0Dbg.wav,"I want to order a plate of spicy chicken wings, one with barbecue sauce and another with a tangy pineapple glaze."," I want to order a plate of spicy chicken wings, one with barbecue sauce and another with a tangy pineapple glaze.","I want to order a plate of spicy chicken wings, one with barbecue sauce and another with tangy pineapple glaze.","I want to order a plate of spicy chicken wings, one with barbecue sauce and another with a tangy pineapple glaze."," I want to order a plate of spicy chicken wings, one with barbecue sauce and another with a tangy pineapple glaze.","I want to order a plate of spicy chicken wings, one with BBQ sauce and another with a tangy pineapple glaze.",0.056074766,0.994361268,0.994361268,0.994232843,0.994361268,0.9943612676679273
2024_07_09 18_51_06 Nv49Zw.wav,"Please give me a serving of a nori sushi and some wakami salad, both without any additional modifiers. Thank you.","Please give me a serving of Inori sushi and some wakami salad, both without any additional modifiers. Thank you."," Please give me a serving of Inori sushi and some wakami salad, both without any additional modifiers. Thank you.","Please give me a serving of a nary sushi and some wakami salad, both without any additional modifiers. Thank you.","Please give me a serving of a nori sushi and some wakami salad, both without any additional modifiers. Thank you.","Please give me a serving of inari sushi and some wakame salad, both without any additional modifiers. Thank you!",0.036036036,0.967490401,0.977061282,0.977061282,0.966982169,0.9674904005600158
2024_07_09 18_51_55 NWrxvg.wav,Can I have a California sandwich on sliced multi-grained bread and also a small house salad to accompany it?,Can I have a California sandwich on sliced multi-green bread and also a small house salad to accompany it?,Can I have a California sandwich on sliced multi-grained bread and also a small house salad to accompany it?,Can I have a California sandwich on sliced multi-grained bread and also a small house salad to accompany it?,Can I have a California sandwich on sliced multi-grained bread and also a small house salad to accompany it?,"Could I have a California sandwich on sliced multigrain bread, and also a small house salad to accompany it?",0.074766355,0.996208237,0.981011091,0.996208237,0.996208237,0.996208236638401
2024_07_09 18_52_34 CxGKDw.wav,Can you bring me a medium combo special with garlic ranch sauce and also add on a cheeseburger topped with pepper jack cheese?,Can you bring me a medium combo special with garlic ranch sauce and also add on a cheeseburger top with pepper jack cheese?,Can you bring me a medium combo special with garlic ranch sauce and also add on a cheeseburger top with pepper jack cheese?,Can you bring me a medium combo special with garlic ranch sauce and also add on a cheeseburger topped with pepper yak cheese?,Can you bring me a medium combo special with garlic ranch sauce and also add on a cheeseburger top with pepper yak cheese?,"Can you bring me a medium Combo Special with garlic-ranch sauce, and also add on a cheeseburger topped with pepperjack cheese?",0.024,0.969746262,0.966322598,0.966322598,0.93695889,0.9364363367274089
2024_07_09 18_52_59 vjylUg.wav,"May I get a plate of tacos topped with fresh, sesty pica de gallo?","May I get a plate of tacos topped with fresh, sesty pica de gallo?","May I get a plate of tacos topped with fresh, sesty pica de gallo?","May I get a plate of tacos topped with fresh, sesty pecan de gallo?",May I get a plate of tacos topped with fresh sesty pica de gallo?,"May I get a plate of tacos topped with fresh, zesty pico de gallo?",0.030769231,0.984984164,0.984984164,0.984984164,0.944806338,0.9849841635207113
2024_07_09 18_53_55 79ej3Q.wav,I need a BLT sandwich paired with a freshly brewed cup of coffee and on the side could I also get some garlic seasoned sliced turkey? Thank you.,"I need a BLT sandwich paired with a freshly brewed cup of coffee. And on the side, could I also get some garlic season sliced turkey? Thank you.", I need a BLT sandwich paired with a freshly brewed cup of coffee and on the side could I also get some garlic season sliced turkey? Thank you.,I need a BLT sandwich paired with a freshly brew cup of coffee and on the side could I also get some garlic seasoned sliced turkey? Thank you.,I need a BLT sandwich paired with freshly brewed cup of coffee and on the side could I also get some garlic season sliced turkey? Thank you.,"I need a B.L.T. sandwich paired with a freshly brewed cup of coffee, and on the side, could I also get some garlic-seasoned sliced turkey? Thank you!",0.040540541,0.994834072,0.993429546,0.993429546,0.994191474,0.9923903155537732
2024_07_09 18_55_06 s_PLgQ.wav,"I will take two November specials, one on a bed of crisp white sliced bread, and the other on hardy wheat sliced bread.","I will take two November specials, one on a bed of crisp white sliced bread, and the other on hardy wheat sliced bread."," I will take two November specials, one on a bed of crisp white sliced bread and the other on hardy wheat sliced bread.","I will take two November specials, one on a bed of crisp white sliced bread, and the other one on hardy white wheat sliced bread.","I will take two November specials, one on a bed of crisp white sliced bread, and the other on hardy white wheat sliced bread.","I will take two November Specials, one on a bed of crisp white sliced bread and the other on hearty wheat sliced bread.",0.025423729,0.993162726,0.993162726,0.993162726,0.993242327,0.9935681258376737
2024_07_09 18_58_47 FJMSqQ.wav,May I order a refreshing sprite and a tangy squirt to accompany my meal?,May I order a refreshing spright and a tangy squirt to accompany my meal?,May I order a refreshing sprite and a tangy squirt and a tangy squirt to accompany my meal?,May I order a refreshing sprite and a tangy squirt to accompany my meal?,May I order a refreshing sprite and a tangus quirt and a tangus quirk to accompany my meal?,May I order a refreshing Sprite and a tangy Squirt to accompany my meal?,0.0,1.0,0.965795496,0.995117704,1.0,0.9460991237324694
2024_07_09 19_00_43 AvdPqA.wav,I need a starry burger with a 20 ounce patty please.,I need a starry burger with a 20 ounce patty please., I need a starry burger with a 20 ounce patty please.,I need a starry burger with a 20 ounce patty please.,I need a starry burger with a 20 ounce patty ounce patty please.,"I need a Starry Burger with a 20-ounce patty, please.",0.038461538,0.961745679,0.961745679,0.961745583,0.961745583,0.9472789318511158
2024_07_10 09_56_26 nGd0tQ.wav,"I would appreciate a plate of spicy hotate, reggie. Please. And could you add some freshly grated wasabi on top? Thank you.","I would appreciate a plate of spicy hotet with Giri, please. And could you add some freshly grated wasabi on top? Thank you.",I would appreciate a plate of spicy or saute burger spicy or psalaryotesquiry burger and could you add some freshly grated asabi on top? Thank you., I would appreciate the plate of spicy or potato meaty tea mackey please and could you add some freshly grated wasabi on top? Thank you.,I would appreciate a plate of spicy or tatte macotta cheese or tatte mojana please and could you add some freshly grated wasabi on top? Thank you.,"I would appreciate a plate of spicy hotate nigiri, please, and could you add some freshly grated wasabi on top? Thank you.",0.066115702,0.943561758,0.942519453,0.793611948,0.891480794,0.8891711215571745
2024_07_10 12_19_17 FSCp3w.wav,"Can you bring me plan Tiretri please? Anwar the November special, Karehda, I have it with Willie Trowl. Thank you.",Can you bring me plant tritry please? And about the Noampa special curd I have it with Woli Trot. Thank you.,Can you bring me a plan try tree please and welcome a special cardiolis but ii have it with walii chilegioltei has it with walii throtti thank you,Can you bring me a plant charter please? And I'm welcome the special cardi have it with weight rolls. Thank you.,"Can you bring me a plant tri-treece? And I'm welcome, I have it with wheatrowses. Thank you.","Can you bring me a plain tri-tip, please? And for the November Special, could I have it with wheat rolls? Thank you!",0.252173913,0.72964981,0.721697074,0.619181436,0.678527904,0.6928505125016017
2024_07_11 00_09_58 MoS-iA.wav,Can you bring me a mixed grill seasoned with Thai spices and accompanied by Brussels sprouts on the side?,Can you bring me a mixed grill seasoned with Thai spices and accompanied by Brussels sprouts on the side?,Can you bring me a mixed grilled seasoned with Thai spices and accompanied five bristle sprouts on the side?,Can you bring me a mixed grilled seasoned with Thai spices and accompanied by bristle sprouts on the side?,Can you bring me a mixed grilled seasoned with Thai spices and accompanied by bristle sprouts on the side?,Can you bring me a mixed grill seasoned with Thai spices and accompanied by Brussels sprouts on the side?,0.0,1.0,1.0,0.934808818,0.945004062,0.9450040623422179
2024_07_11 00_17_17 EuE5pQ.wav,I would like to order some spicy chicken wings and could you please add a side of fresh spinach as well? Thank you.,I would like to order some spicy chicken wings and could you please add a side of fresh spinach as well? Thank you., I would like to order some spicy chicken wings and could you please add a side of fresh spinach as well. Thank you.,I would like to order some spicy chicken wings and could you please add a side of fresh spinach as well. Thank you.,I would like to order some spicy chicken wings and could you please add a side of fresh spinach as well? Thank you.,"I would like to order some spicy chicken wings, and could you please add a side of fresh spinach as well? Thank you.",0.008695652,1.0,1.0,1.0,1.0,1.0
2024_07_11 00_17_44 1eSjAw.wav,Could you please serve me a house salad with a balsami vinegar dressing on the side? Thank you.,Could you please serve me a house salad with a balsami vinegar dressing on the side? Thank you.,Could you please serve me a house salad with a balsamierevanekynabini dressing on the side? Thank you., Could you please serve me a house salad with a palsamy vinegar dressing on the side? Thank you.,Could you please serve me a house salad with a palsami Gini Gillesoiselle Gillesoisellegrasian on the side? Thank you.,Could you please serve me a house salad with balsamic vinaigrette dressing on the side? Thank you.,0.103092784,0.965145265,0.965145265,0.960136343,0.933044279,0.9190961839045523
2024_07_12 03_22_51 spIQcQ.wav,i would appreciate a classic breakfast with the modification of having my eggs prepared as whites only please, i would appreciate a classic breakfast with the modification of having my eggs prepared as whites only please, I would appreciate a classic breakfast with the modification of having my eggs prepared as whites only please., I would appreciate a classic breakfast with the modification of having my eggs prepared as whites only please.,I would appreciate a classic breakfast with the modification of having my eggs prepared as whites only please.,"""I would appreciate a classic breakfast with the modification of having my eggs prepared as whites only, please.""",0.009090909,0.999999989,0.999999989,0.999999989,0.999999989,0.9999999889502076
2024_07_12 03_25_24 9AXS6A.wav,"I would like to order a classic breakfast, one with fresh fruit and another with just the white eggs.", i would like to order a classic breakfast one with fresh fruit and another with just the white eggs," I would like to order a classic breakfast, one with fresh fruit and another with just the white eggs.","I would like to order a classic breakfast, one with fresh fruit and another with just the white eggs.","I would like to order a classic breakfast, one with fresh fruit and another with just the white eggs.","""I want to order a classic breakfast, one with fresh fruit and another with just the white eggs.""",0.095744681,0.995960914,0.995960914,0.995960914,0.995960914,0.9959609142469051
2024_07_12 03_31_50 wmdizw.wav,i would love to start off with a small bowl of clam chowder and for my main course i would like an order of boneless wings prepared naked, i would love to start off with a small bowl of clam chatter and for my main course i would like an order of boneless wings prepared naked, I would love to start off with a small bowl of clam counter and for my main course I would like an order of boneless wings prepared naked., I would love to start off with a small bowl of clam counter and for my main course I would like an order of boneless wings prepared naked.,I would love to start off with a small bowl of clam counter and for my main course I would like an order of boneless wings prepared naked.,"""I would love to start off with a small bowl of clam chowder, and for my main course, I would like an order of boneless wings prepared naked.""",0.014388489,1.0,0.961638053,0.969285114,0.969285114,0.969285114336186
2024_07_12 03_37_08 tLbT2g.wav,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,0.0,0.999999984,0.999999984,0.999999984,0.999999984,0.9999999835914575
2024_07_15 16_16_57 zkfB0A.wav,"Can you bring me a hamburger with all the standard toppings, please?","Can you bring me a hamburger with all the standard toppings, please?",Can you bring me a hamburger with all the standard topping please?,Can you bring me a hamburger with all the standard toppings please?,Can you bring me a hamburger with all the standard toppings please?,"Can you bring me a hamburger with all the standard toppings, please?",0.0,1.0,1.0,0.993225091,1.0,1.0
2024_07_15 18_13_42 34O1Iw.wav,"May I get a petty melt cooked to medium rare, please?","May I get a patti melt cooked to medium rare, please?","May I get a petty meltup cooked to medium rare, please?",May I get the pettie melt and cook it to medium rare please?,"May I get a pettie melt and cook it to medium, rar please.","May I get a Patty Melt cooked to medium rare, please?",0.019230769,0.927885587,0.96725457,0.867022212,0.893790606,0.8667004525922285
2024_07_15 19_43_19 24Dxew.wav,"May I order a half portion of Tandori chicken prepared in a milder spice blend, please?","May I order a half portion of Tandori chicken prepared in a milder spice blend, please?","May I order a half a portion of Tundori chicken prepared in a milder spice blend, please.","May I order a half a half a portion of Tandori chicken prepared in a milder spicer blend, please.",May I order a half a portion of Tundori chicken prepared in a milder spicer blend please.,"May I order a half portion of the Tandoori Chicken prepared in a milder spice blend, please?",0.054945055,0.964811111,0.964811111,0.951257877,0.941001254,0.924496813947357
2024_07_13 20_43_38 hOrdPw.wav,"May I get a small, Hawaii, pizza, please?","May I get a small Hawaiian pizza, please?","May I get a small Hawaiian pizza, please?",May I get a small Hawaiian pizza please?,May I get a small Hawaiian pizza please?,"May I get a small Hawaiian Pizza, please?",0.075,0.990408221,0.999999991,0.999999991,0.999999991,0.9999999910172235
