audio_path,Before_Finetuning_transcription,Finetuned_transcription,ground_truth,BF_CER,BF_WER,AF_CER,AF_WER,Blade_Semantic_BF,Blade_Semantic_AF,MiniLM-L6_Semantic_BF,MiniLM-L6_Semantic_AF
2024_07_09 09_45_10 1aejJQ.wav,"I would appreciate our delicious soup and salad combo, specifically the broccoli cheddar soup paired with a fresh garden salad. Thank you."," I would appreciate a delicious soup and salad combo, specifically the broccoli cheddar soup paired with a fresh garden salad. Thank you.","I would appreciate a delicious Soup and Salad Combo, specifically the Broccoli Cheddar Soup paired with a fresh garden salad. Thank you!",0.022222222,0.045454545,0.0,0.0,0.9901897237180317,0.9999999907357566,0.9758992195129395,1.0
2024_07_09 09_46_36 YpGK3Q.wav,Can I have a hot dog on a sub-seasor bun?,Can I have a hot dog on I? Sub-ceaser bun.,Can I have a hot dog on a Sub Caesar bun?,0.125,0.181818182,0.15,0.272727273,0.9175095667241222,0.9405596700338759,0.8273264066771526,0.8186593651771545
2024_07_09 10_00_12 UeV5gw.wav,"I will have the boneless wings without any sauce or dry wrap, please.","I will have the boneless wings without any sauce or dry wrap, please.","I will have the boneless wings without any sauce or a dry rub, please.",0.072463768,0.142857143,0.072463768,0.142857143,0.9688662914191923,0.9688662914191923,0.9147419282640192,0.9147419282640192
2024_07_09 10_02_57 6k0MuQ.wav,I would like some turkey sandwich without any tomatoes please thank you,"I would like some turkey sandwich without any tomatoes, please. Thank you.","I would like some turkey sandwich without any tomatoes, please. Thank you!",0.02739726,0.166666667,0.0,0.0,1.0,1.0,1.0,1.0
2024_07_09 10_03_35 fysiOg.wav,"Could you please serve me a cheeseburger, one top with tangy blue cheese and another featuring classic American cheese. Thank you.","Could you please serve me a cheeseburger, one top with tangy blue cheese and another featuring classic American cheese? Thank you.","Could you please serve me a cheeseburger, one topped with tangy blue cheese and another featuring classic American cheese? Thank you.",0.03030303,0.095238095,0.022727273,0.047619048,0.9966898239812685,0.9966898239812685,0.9881746783048369,0.9881746783048369
2024_07_09 10_04_12 wrwyjA.wav,Would you please serve me a to strata with red sauce and beef as well as another one with red sauce and goat? Thank you., Would you please serve me a toasterta with red sauce and beef as well as another one with red sausage and goat? Thank you.,"Could you please serve me a tostada with red sauce and beef, as well as another one with red sauce and goat? Thank you!",0.042372881,0.166666667,0.076271186,0.166666667,0.9028982992110024,0.8784067619471024,0.8748959228334396,0.864584948557167
2024_07_09 10_21_42 1_UQ8A.wav,"I would like to try the Chrisadina's visa, but please, will you serve it without any sound from? Thank you."," I would like to try the Khrastainas Siza, but please could you serve it without any song? Thank you.","I would like to try the Quesadilla Suiza, but please could you serve it without any salsa? Thank you.",0.24,0.315789474,0.14,0.157894737,0.657736034983964,0.7406198945871197,0.3512756019070392,0.5877132311209207
2024_07_09 10_22_10 MI0RTw.wav,Can I order a mini breakfast with white toast on the side?,Can I order a mini breakfast with white toast on the side?,Can I order a mini breakfast with white toast on the side?,0.0,0.0,0.0,0.0,0.999999985514032,0.999999985514032,0.9999999403953606,0.9999999403953606
2024_07_09 10_22_40 pyVIwA.wav,Can you bring me a plate of chips shared with our housemaid guacamole and salsa please?, Did you bring me a plate of chips served with our house made guacamole and salsa please?,"Can you bring me a plate of chips served with our house-made guacamole and salsa, please?",0.079545455,0.1875,0.056818182,0.25,0.9425162366481613,0.9705643098226047,0.9710642695426941,0.9304152962936763
2024_07_09 10_24_32 TfHqVA.wav,"I'm sorry for any confusion but it seems that there might be a mix-up in the items and modifiers you provided. Pastrami is typically a type of cured meat often served with rye bread or as part of sandwiches while chocolate chips are usually associated with desserts like cookies or brownies. Could I assist you by suggesting a pastrami sandwich instead? If so, would you prefer toasted or un-toasted and what type of bread do you fancy rye, whole wheat or something else?","I'm sorry for any confusion, but it seems that there might be a mix-up in the items and modifiers you provided. Pastrami is typically a type of cured meat, often served with rye of bread, or as part of sandwiches, while chocolate chips are usually associated with desserts like cookies or brownies. Could I assist you by suggesting a pastrami sandwich instead? If so, would you prefer toasted or un-toasted and what type of bread do you fancy rye, whole wheat, or something else?","I'm sorry for any confusion, but it seems there might be a mix-up in the items and modifiers you provided. Pastrami is typically a type of cured meat often served on rye bread or as part of sandwiches, while chocolate chips are usually associated with desserts like cookies or brownies. Could I assist you by suggesting a pastrami sandwich instead? If so, would you prefer it toasted or untoasted and what type of bread do you fancy – rye, whole wheat, or something else?",0.038297872,0.095238095,0.042553191,0.095238095,0.9990597806503528,0.9983793147988564,0.9982765614472799,0.9977753162384033
2024_07_09 10_25_49 l-F5qQ.wav,Could you serve me a swine meal with half a serving of red potato mash and also the surfinter accompanied with another half serving of red potato mash? Thank you.,Could you serve me a swye meal with half a serving of red potato mash and also the surf and turf accompanied with another half serving of red potato mash? Thank you.,"Could you please serve me a Swai Meal with half a serving of Red Potato Mash, and also the Surf 'n Turf accompanied by another half serving of Red Potato Mash? Thank you.",0.118343195,0.212121212,0.094674556,0.151515152,0.8585214316390678,0.9742068627845212,0.8826027635638162,0.9176671406826014
2024_07_09 10_31_47 X_0Dbg.wav,"I want to order a plate of spicy chicken wings, one with barbecue sauce and another with a tangy pineapple glaze."," I want to order a plate of spicy chicken wings, one with barbecue sauce and another with a tangy pineapple glaze.","I want to order a plate of spicy chicken wings, one with BBQ sauce and another with a tangy pineapple glaze.",0.056074766,0.047619048,0.056074766,0.047619048,0.9943612676679273,0.9943612676679273,0.9957670267612104,0.9957670267612104
2024_07_09 18_51_06 Nv49Zw.wav,"Please give me a serving of a nori sushi and some wakami salad, both without any additional modifiers. Thank you.","Please give me a serving of Inori sushi and some wakami salad, both without any additional modifiers. Thank you.","Please give me a serving of inari sushi and some wakame salad, both without any additional modifiers. Thank you!",0.036036036,0.157894737,0.018018018,0.105263158,0.9674904005600158,0.9770612816014171,0.9270143595916862,0.9266880198307041
2024_07_09 18_51_55 NWrxvg.wav,Can I have a California sandwich on sliced multi-grained bread and also a small house salad to accompany it?,Can I have a California sandwich on sliced multi-green bread and also a small house salad to accompany it?,"Could I have a California sandwich on sliced multigrain bread, and also a small house salad to accompany it?",0.074766355,0.157894737,0.074766355,0.157894737,0.996208236638401,0.9810110913132261,0.9633145332336426,0.9568132732399286
2024_07_09 18_52_34 CxGKDw.wav,Can you bring me a medium combo special with garlic ranch sauce and also add on a cheeseburger topped with pepper jack cheese?,Can you bring me a medium combo special with garlic ranch sauce and also add on a cheeseburger top with pepper jack cheese?,"Can you bring me a medium Combo Special with garlic-ranch sauce, and also add on a cheeseburger topped with pepperjack cheese?",0.024,0.238095238,0.048,0.285714286,0.9697462624516896,0.9663225982782051,0.9450200167310264,0.9454573360358097
2024_07_09 18_52_59 vjylUg.wav,"May I get a plate of tacos topped with fresh, sesty pica de gallo?","May I get a plate of tacos topped with fresh, sesty pica de gallo?","May I get a plate of tacos topped with fresh, zesty pico de gallo?",0.030769231,0.142857143,0.030769231,0.142857143,0.9849841635207113,0.9849841635207113,0.961394903742965,0.961394903742965
2024_07_09 18_53_55 79ej3Q.wav,I need a BLT sandwich paired with a freshly brewed cup of coffee and on the side could I also get some garlic seasoned sliced turkey? Thank you.,"I need a BLT sandwich paired with a freshly brewed cup of coffee. And on the side, could I also get some garlic season sliced turkey? Thank you.","I need a B.L.T. sandwich paired with a freshly brewed cup of coffee, and on the side, could I also get some garlic-seasoned sliced turkey? Thank you!",0.040540541,0.185185185,0.047297297,0.148148148,0.9948340715530061,0.9934295460671383,0.9748859986594932,0.9821626826074177
2024_07_09 18_55_06 s_PLgQ.wav,"I will take two November specials, one on a bed of crisp white sliced bread, and the other on hardy wheat sliced bread.","I will take two November specials, one on a bed of crisp white sliced bread, and the other on hardy wheat sliced bread.","I will take two November Specials, one on a bed of crisp white sliced bread and the other on hearty wheat sliced bread.",0.025423729,0.086956522,0.025423729,0.086956522,0.9931627264357472,0.9931627264357472,0.9852864733509125,0.9852864733509125
2024_07_09 18_58_47 FJMSqQ.wav,May I order a refreshing sprite and a tangy squirt to accompany my meal?,May I order a refreshing spright and a tangy squirt to accompany my meal?,May I order a refreshing Sprite and a tangy Squirt to accompany my meal?,0.0,0.0,0.042253521,0.071428571,1.0,0.965795495972815,1.0,0.9276473565311832
2024_07_09 19_00_43 AvdPqA.wav,I need a starry burger with a 20 ounce patty please.,I need a starry burger with a 20 ounce patty please.,"I need a Starry Burger with a 20-ounce patty, please.",0.038461538,0.3,0.038461538,0.3,0.9617456787393923,0.9617456787393923,0.9566776182247645,0.9566776182247645
2024_07_10 09_56_26 nGd0tQ.wav,"I would appreciate a plate of spicy hotate, reggie. Please. And could you add some freshly grated wasabi on top? Thank you.","I would appreciate a plate of spicy hotet with Giri, please. And could you add some freshly grated wasabi on top? Thank you.","I would appreciate a plate of spicy hotate nigiri, please, and could you add some freshly grated wasabi on top? Thank you.",0.066115702,0.136363636,0.05785124,0.181818182,0.9435617576646383,0.9425194526070948,0.873018581243034,0.8657717704772949
2024_07_10 12_19_17 FSCp3w.wav,"Can you bring me plan Tiretri please? Anwar the November special, Karehda, I have it with Willie Trowl. Thank you.",Can you bring me plant tritry please? And about the Noampa special curd I have it with Woli Trot. Thank you.,"Can you bring me a plain tri-tip, please? And for the November Special, could I have it with wheat rolls? Thank you!",0.252173913,0.363636364,0.252173913,0.409090909,0.7296498102895264,0.7216970736772768,0.5680607299840895,0.4929358354730444
2024_07_11 00_09_58 MoS-iA.wav,Can you bring me a mixed grill seasoned with Thai spices and accompanied by Brussels sprouts on the side?,Can you bring me a mixed grill seasoned with Thai spices and accompanied by Brussels sprouts on the side?,Can you bring me a mixed grill seasoned with Thai spices and accompanied by Brussels sprouts on the side?,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2024_07_11 00_17_17 EuE5pQ.wav,I would like to order some spicy chicken wings and could you please add a side of fresh spinach as well? Thank you.,I would like to order some spicy chicken wings and could you please add a side of fresh spinach as well? Thank you.,"I would like to order some spicy chicken wings, and could you please add a side of fresh spinach as well? Thank you.",0.008695652,0.043478261,0.008695652,0.043478261,1.0,1.0,1.0,1.0
2024_07_11 00_17_44 1eSjAw.wav,Could you please serve me a house salad with a balsami vinegar dressing on the side? Thank you.,Could you please serve me a house salad with a balsami vinegar dressing on the side? Thank you.,Could you please serve me a house salad with balsamic vinaigrette dressing on the side? Thank you.,0.103092784,0.176470588,0.103092784,0.176470588,0.9651452649003454,0.9651452649003454,0.9120595726984616,0.9120595726984616
2024_07_12 03_22_51 spIQcQ.wav,i would appreciate a classic breakfast with the modification of having my eggs prepared as whites only please, i would appreciate a classic breakfast with the modification of having my eggs prepared as whites only please,"""I would appreciate a classic breakfast with the modification of having my eggs prepared as whites only, please.""",0.009090909,0.055555556,0.009090909,0.055555556,0.9999999889502076,0.9999999889502076,1.0,1.0
2024_07_12 03_25_24 9AXS6A.wav,"I would like to order a classic breakfast, one with fresh fruit and another with just the white eggs.", i would like to order a classic breakfast one with fresh fruit and another with just the white eggs,"""I want to order a classic breakfast, one with fresh fruit and another with just the white eggs.""",0.095744681,0.111111111,0.106382979,0.166666667,0.9959609142469051,0.9959609142469051,0.9959065322987469,0.9959065322987469
2024_07_12 03_31_50 wmdizw.wav,i would love to start off with a small bowl of clam chowder and for my main course i would like an order of boneless wings prepared naked, i would love to start off with a small bowl of clam chatter and for my main course i would like an order of boneless wings prepared naked,"""I would love to start off with a small bowl of clam chowder, and for my main course, I would like an order of boneless wings prepared naked.""",0.014388489,0.071428571,0.035971223,0.071428571,1.0,0.9616380525041547,1.0,0.9321223694268523
2024_07_12 03_37_08 tLbT2g.wav,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,0.0,0.0,0.0,0.0,0.9999999835914575,0.9999999835914575,1.0,1.0
2024_07_15 16_16_57 zkfB0A.wav,"Can you bring me a hamburger with all the standard toppings, please?","Can you bring me a hamburger with all the standard toppings, please?","Can you bring me a hamburger with all the standard toppings, please?",0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2024_07_15 18_13_42 34O1Iw.wav,"May I get a petty melt cooked to medium rare, please?","May I get a patti melt cooked to medium rare, please?","May I get a Patty Melt cooked to medium rare, please?",0.019230769,0.090909091,0.019230769,0.090909091,0.9278855871328698,0.9672545700355684,0.8353151082992554,0.952032744884491
2024_07_15 19_43_19 24Dxew.wav,"May I order a half portion of Tandori chicken prepared in a milder spice blend, please?","May I order a half portion of Tandori chicken prepared in a milder spice blend, please?","May I order a half portion of the Tandoori Chicken prepared in a milder spice blend, please?",0.054945055,0.117647059,0.054945055,0.117647059,0.9648111109743691,0.9648111109743691,0.9634034015776771,0.9634034015776771
2024_07_13 20_43_38 hOrdPw.wav,"May I get a small, Hawaii, pizza, please?","May I get a small Hawaiian pizza, please?","May I get a small Hawaiian Pizza, please?",0.075,0.25,0.0,0.0,0.9904082214181062,0.9999999910172235,0.9766985760151509,0.9999999403953606
